Points		Gain_val	Throw_val	Gain_win	Throw_win
60		13		1		5000		0
50		5		1		5000		0
90		13		1		5000		0
80		5		1		5000		0
60		13		2		2927		2073
50		5		2		4112		888
90		13		2		4072		928
60		13		3		5000		0
100		9		1		5000		0
50		5		3		3072		1928
80		5		2		4346		654
60		13		4		5000		0
90		13		3		4401		599
50		5		4		2792		2208
80		5		3		3344		1656
60		13		5		3633		1367
100		9		2		4451		549
50		5		5		815		4185
90		13		4		4999		1
50		5		6		837		4163
60		13		6		0		5000
80		5		4		541		4459
50		5		7		1614		3386
60		13		7		2068		2932
100		9		3		4545		455
90		13		5		2636		2364
80		5		5		1662		3338
50		5		8		5000		0
60		13		8		4037		963
50		5		9		1002		3998
80		5		6		558		4442
90		13		6		397		4603
100		9		4		2483		2517
60		13		9		351		4649
50		5		10		1966		3034
60		13		10		4369		631
90		13		7		3605		1395
80		5		7		2061		2939
100		9		5		0		5000
60		14		1		5000		0
50		6		1		5000		0
90		13		8		992		4008
80		5		8		1357		3643
100		9		6		630		4370
60		14		2		4610		390
80		5		9		335		4665
50		6		2		5000		0
90		13		9		625		4375
60		14		3		3076		1924
50		6		3		2690		2310
80		5		10		4928		72
100		9		7		3674		1326
60		14		4		4173		827
90		13		10		3803		1197
50		6		4		0		5000
100		9		8		2024		2976
50		6		5		1235		3765
60		14		5		3273		1727
80		6		1		5000		0
90		14		1		5000		0
100		9		9		2241		2759
50		6		6		2707		2293
60		14		6		3200		1800
50		6		7		928		4072
90		14		2		4664		336
60		14		7		1573		3427
100		9		10		2383		2617
80		6		2		5000		0
50		6		8		2225		2775
90		14		3		4209		791
60		14		8		1568		3432
50		6		9		2736		2264
100		10		1		5000		0
60		14		9		4090		910
50		6		10		1431		3569
90		14		4		5000		0
80		6		3		4226		774
60		14		10		0		5000
60		15		1		5000		0
50		7		1		5000		0
100		10		2		4946		54
80		6		4		1384		3616
90		14		5		3816		1184
50		7		2		4169		831
60		15		2		3297		1703
80		6		5		1057		3943
100		10		3		3413		1587
50		7		3		4998		2
90		14		6		1920		3080
60		15		3		2583		2417
80		6		6		991		4009
60		15		4		5000		0
50		7		4		1426		3574
90		14		7		2342		2658
100		10		4		3196		1804
80		6		7		1043		3957
60		15		5		1587		3413
50		7		5		0		5000
90		14		8		1158		3842
80		6		8		634		4366
60		15		6		4999		1
50		7		6		0		5000
100		10		5		811		4189
90		14		9		3738		1262
50		7		7		1046		3954
80		6		9		3238		1762
60		15		7		4273		727
100		10		6		2138		2862
50		7		8		2729		2271
60		15		8		1801		3199
90		14		10		3163		1837
80		6		10		2744		2256
50		7		9		0		5000
100		10		7		1089		3911
50		7		10		2802		2198
60		15		9		0		5000
80		7		1		5000		0
50		8		1		5000		0
100		10		8		2444		2556
90		15		1		5000		0
50		8		2		3275		1725
80		7		2		3898		1102
60		15		10		1549		3451
50		8		3		3284		1716
90		15		2		3690		1310
60		16		1		5000		0
100		10		9		2018		2982
80		7		3		4459		541
50		8		4		2361		2639
60		16		2		4603		397
90		15		3		5000		0
100		10		10		2918		2082
50		8		5		276		4724
60		16		3		5000		0
80		7		4		836		4164
90		15		4		5000		0
50		8		6		0		5000
60		16		4		5000		0
100		11		1		5000		0
50		8		7		0		5000
80		7		5		0		5000
60		16		5		5000		0
90		15		5		5000		0
50		8		8		914		4086
60		16		6		1499		3501
80		7		6		0		5000
90		15		6		566		4434
50		8		9		2712		2288
100		11		2		5000		0
60		16		7		1905		3095
50		8		10		48		4952
80		7		7		802		4198
60		16		8		800		4200
90		15		7		1226		3774
50		9		1		5000		0
100		11		3		5000		0
80		7		8		2230		2770
60		16		9		2785		2215
90		15		8		1672		3328
50		9		2		4413		587
60		16		10		2722		2278
80		7		9		1594		3406
100		11		4		4999		1
90		15		9		2424		2576
50		9		3		5000		0
60		17		1		5000		0
80		7		10		1497		3503
90		15		10		2274		2726
50		9		4		2963		2037
100		11		5		1393		3607
